GRIDCODE,CVE ENTMUN,POB  RURAL EN CELL,POB  URB EN CELL,POB TOTAL RURAL EN MUN
998,07089,640,,320451
998,07089,899,,320451
998,07089,211,,320451
998,07089,266,,320451
998,07089,90,,320451
999,07087,4,,35056
999,07087,4,,35056
999,07089,15,,320451
999,07089,164,,320451
999,07089,467,,320451
999,07089,1055,,320451
999,07089,4,,320451
999,07089,15,,320451
999,07089,12,,320451
999,07089,18,,320451
999,07089,82,,320451
999,07089,17,,320451
999,07089,37,,320451
999,07089,1,,320451
999,07089,640,,320451
999,07089,1,,320451
999,07089,6,,320451
999,07089,6,,320451
999,07089,26,,320451
999,07089,5,,320451
999,07089,11,,320451
999,07089,31,,320451
999,07089,11,,320451
999,07089,5,,320451
999,07089,5,,320451
999,07089,5,,320451
999,07089,8,,320451
999,07089,9,,320451
999,07089,5,,320451
999,07089,2,,320451
999,07089,245,,320451
999,07089,14,,320451
999,07089,8,,320451
999,07089,22,,320451
999,07089,5,,320451
999,07089,12,,320451
1000,07035,124,,12665
1000,07035,356,,12665
1000,07035,390,,12665
1000,07035,568,,12665
1000,07035,404,,12665
1000,07035,742,,12665
1000,07035,289,,12665
1000,07035,927,,12665
1000,07035,547,,12665
1000,07035,235,,12665
1000,07087,184,,35056
1000,07087,274,,35056
1000,07087,437,,35056
1000,07089,14,,320451
1000,07089,19,,320451
1001,07035,2464,,12665
1001,07087,374,,35056
1001,07087,4,,35056
1001,07087,1,,35056
1001,07087,10,,35056
1001,07087,1,,35056
1001,07087,23,,35056
1001,07087,18,,35056
1349,07054,116,,26573
1349,07054,322,,26573
1349,07054,3,,26573
1349,07054,401,,26573
1349,07054,1,,26573
1350,07054,2,,26573
1350,07054,131,,26573
1350,07054,150,,26573
1350,07054,2,,26573
1350,07054,2,,26573
1350,07054,3,,26573
1350,07054,2,,26573
1350,07054,158,,26573
1350,07054,669,,26573
1350,07054,16,,26573
1350,07054,610,,26573
1350,07054,251,,26573
1350,07054,2,,26573
1350,07054,36,,26573
1350,07054,130,,26573
1350,07054,966,,26573
1350,07054,10,,26573
1350,07054,605,,26573
1350,07054,91,,26573
1350,07054,1,,26573
1350,07054,3,,26573
1350,07054,1,,26573
1350,07054,2,,26573
1350,07054,204,,26573
1350,07054,849,,26573
1350,07054,8,,26573
1350,07054,337,,26573
1350,07054,230,,26573
1350,07054,12,,26573
1351,07054,1,,26573
1351,07054,3,,26573
1351,07054,8,,26573
1351,07054,210,,26573
1351,07054,4,,26573
1351,07054,12,,26573
1351,07054,94,,26573
1351,07054,5,,26573
1351,07054,4,,26573
1351,07054,6,,26573
1351,07054,352,,26573
1351,07054,53,,26573
1351,07054,567,,26573
1351,07089,161,,320451
1351,07089,8,,320451
1351,07089,4,,320451
1351,07089,59,,320451
1351,07089,1717,,320451
1351,07089,11,,320451
1351,07089,4,,320451
1351,07089,3,,320451
1351,07089,11,,320451
1351,07089,5,,320451
1351,07089,3,,320451
1351,07089,3,,320451
1351,07089,9,,320451
1351,07089,701,,320451
1351,07089,7,,320451
1351,07089,11,,320451
1351,07089,22,,320451
1351,07089,5,,320451
1351,07089,2,,320451
1351,07089,18,,320451
1351,07089,8,,320451
1351,07089,3,,320451
1351,07089,4,,320451
1351,07089,1,,320451
1351,07089,5,,320451
1351,07089,8,,320451
1351,07089,423,,320451
1351,07089,17,,320451
1351,07089,21,,320451
1351,07089,4,,320451
1351,07089,11,,320451
1351,07089,672,,320451
1351,07089,789,,320451
1351,07089,11,,320451
1351,07089,11,,320451
1352,07089,4,,320451
1352,07089,1132,,320451
1352,07089,653,,320451
1352,07089,765,,320451
1352,07089,6,,320451
1352,07089,1,,320451
1352,07089,1,,320451
1352,07089,362,,320451
1352,07089,5,,320451
1352,07089,4,,320451
1352,07089,3,,320451
1352,07089,9,,320451
1352,07089,16,,320451
1352,07089,1071,,320451
1352,07089,1099,,320451
1352,07089,1000,,320451
1352,07089,335,,320451
1352,07089,68,,320451
1352,07089,764,,320451
1352,07089,473,,320451
1352,07089,5,,320451
1352,07089,7,,320451
1352,07089,22,,320451
1352,07089,52,,320451
1352,07089,134,,320451
1352,07089,3,,320451
1352,07089,122,,320451
1352,07089,1,,320451
1352,07089,1217,,320451
1352,07089,1384,,320451
1352,07089,1124,,320451
1353,07035,357,,12665
1353,07035,1743,,12665
1353,07055,580,,5033
1353,07055,542,,5033
1353,07055,333,,5033
1353,07055,464,,5033
1353,07055,1,,5033
1353,07055,503,,5033
1353,07102,1251,,37737
1353,07102,1131,,37737
1353,07102,30,,37737
1353,07102,135,,37737
1701,07040,3,,51359
1701,07040,80,,51359
1701,07054,8,,26573
1701,07054,756,,26573
1702,07054,5,,26573
1702,07054,7,,26573
1702,07054,8,,26573
1702,07054,8,,26573
1702,07054,5,,26573
1702,07054,120,,26573
1702,07054,19,,26573
1702,07054,1,,26573
1702,07054,2,,26573
1702,07054,193,,26573
1702,07054,1135,,26573
1702,07054,6,,26573
1702,07054,10,,26573
1702,07054,5,,26573
1702,07054,5,,26573
1702,07054,486,,26573
1703,07054,1,,26573
1703,07054,4,,26573
1703,07054,499,,26573
1703,07054,815,,26573
1703,07054,9,,26573
1703,07054,13,,26573
1703,07054,6,,26573
1703,07054,1,,26573
1703,07054,3,,26573
1703,07054,8,,26573
1703,07054,10,,26573
1703,07054,690,,26573
1703,07054,2,,26573
1703,07054,7,,26573
1703,07054,5,,26573
1703,07054,7,,26573
1703,07054,94,,26573
1703,07054,6,,26573
1703,07054,18,,26573
1703,07054,7,,26573
1703,07054,10,,26573
1703,07054,147,,26573
1703,07054,12,,26573
1703,07054,8,,26573
1703,07054,6,,26573
1703,07054,9,,26573
1703,07054,3,,26573
1703,07054,10,,26573
1703,07054,68,,26573
1703,07054,15,,26573
1703,07054,13,,26573
1703,07054,10,,26573
1703,07054,33,,26573
1703,07054,15,,26573
1703,07054,15,,26573
1703,07054,1263,,26573
1703,07054,9,,26573
1703,07054,21,,26573
1703,07054,5,,26573
1703,07054,4,,26573
1703,07054,7,,26573
1703,07054,1,,26573
1703,07054,7,,26573
1703,07054,3,,26573
1703,07054,6,,26573
1703,07054,10,,26573
1703,07054,13,,26573
1703,07089,8,,320451
1704,07037,16,,35558
1704,07054,9,,26573
1704,07054,3,,26573
1704,07054,25,,26573
1704,07054,414,,26573
1704,07054,3,,26573
1704,07054,1,,26573
1704,07054,9,,26573
1704,07054,3,,26573
1704,07054,191,,26573
1704,07089,1,,320451
1704,07089,5,,320451
1704,07089,4,,320451
1704,07089,6,,320451
1704,07089,2,,320451
1704,07089,697,,320451
1704,07089,1,,320451
1704,07089,7,,320451
1704,07089,3,,320451
1704,07089,41,,320451
1704,07089,11,,320451
1704,07089,13,,320451
1704,07089,13,,320451
1704,07089,4,,320451
1704,07089,2,,320451
1704,07089,1,,320451
1704,07089,37,,320451
1704,07089,114,,320451
1704,07089,93,,320451
1704,07089,10,,320451
1704,07089,23,,320451
1704,07089,17,,320451
1704,07089,4,,320451
1704,07089,5,,320451
1704,07089,883,,320451
1704,07089,14,,320451
1704,07089,4,,320451
1704,07089,1431,,320451
1704,07089,2,,320451
1704,07089,71,,320451
1704,07089,11,,320451
1704,07089,47,,320451
1704,07089,12,,320451
1704,07089,3,,320451
1704,07089,4,,320451
1704,07089,5,,320451
1704,07089,355,,320451
1704,07089,5,,320451
1704,07089,851,,320451
1704,07089,2,,320451
1705,07089,184,,320451
1705,07089,7,,320451
1705,07089,131,,320451
1705,07089,6,,320451
1705,07089,126,,320451
1705,07089,491,,320451
1705,07089,1579,,320451
1705,07089,936,,320451
1705,07089,161,,320451
1705,07089,267,,320451
1705,07089,205,,320451
1705,07089,181,,320451
1705,07089,208,,320451
1705,07089,99,,320451
1705,07089,301,,320451
1705,07089,110,,320451
1705,07089,24,,320451
1705,07089,176,,320451
1705,07089,44,,320451
1705,07089,94,,320451
1705,07089,151,,320451
1705,07089,1,,320451
1705,07089,1,,320451
1705,07089,4,,320451
1705,07089,1,,320451
1705,07089,8,,320451
1705,07089,8,,320451
1705,07089,29,,320451
1705,07089,57,,320451
1705,07089,9,,320451
1705,07089,1,,320451
1705,07089,13,,320451
1705,07089,11,,320451
1705,07089,2,,320451
1705,07089,12,,320451
1705,07089,646,,320451
1705,07089,260,,320451
1705,07089,27,,320451
1705,07089,1,,320451
1705,07089,13,,320451
1705,07089,14,,320451
1705,07089,416,,320451
1705,07089,3,,320451
1705,07089,1,,320451
1705,07089,1691,,320451
1705,07089,18,,320451
1705,07089,1,,320451
1705,07089,32,,320451
1705,07089,77,,320451
1705,07089,4,,320451
1705,07089,4,,320451
1705,07089,38,,320451
1705,07089,8,,320451
1705,07089,27,,320451
1706,07089,683,,320451
1706,07102,820,,37737
1706,07102,26,,37737
1706,07102,25,,37737
1706,07102,390,,37737
1706,07102,681,,37737
1706,07102,8,,37737
1706,07102,4182,,37737
1706,07102,1483,,37737
1706,07102,5,,37737
1706,07102,8,,37737
1706,07102,5,,37737
1706,07102,2680,,37737
1706,07102,2,,37737
1706,07102,4,,37737
1706,07102,3,,37737
1706,07102,13,,37737
1706,07102,2312,,37737
1706,07102,38,,37737
1706,07102,327,,37737
1706,07102,606,,37737
1706,07102,1329,,37737
1707,07102,1413,,37737
1707,07102,429,,37737
1707,07102,476,,37737
1707,07102,1168,,37737
1707,07102,729,,37737
2053,07040,286,,51359
2053,07040,177,,51359
2054,07040,9,,51359
2055,07037,580,,35558
2055,07037,151,,35558
2055,07037,1,,35558
2055,07037,1,,35558
2055,07037,6,,35558
2055,07040,93,,51359
2056,07037,6,,35558
2056,07037,9,,35558
2056,07037,199,,35558
2056,07037,82,,35558
2056,07037,1443,,35558
2056,07037,765,,35558
2056,07037,947,,35558
2056,07037,138,,35558
2056,07037,9,,35558
2056,07037,419,,35558
2056,07037,4,,35558
2056,07037,4,,35558
2056,07037,463,,35558
2056,07037,877,,35558
2056,07037,1,,35558
2056,07037,11,,35558
2056,07037,626,,35558
2056,07054,1,,26573
2057,07037,9,,35558
2057,07037,10,,35558
2057,07037,222,,35558
2057,07037,259,,35558
2057,07037,27,,35558
2057,07037,1687,,35558
2057,07037,153,,35558
2057,07037,115,,35558
2057,07037,340,,35558
2057,07037,315,,35558
2057,07037,45,,35558
2057,07037,56,,35558
2057,07037,323,,35558
2057,07037,442,,35558
2057,07037,263,,35558
2057,07037,207,,35558
2057,07037,511,,35558
2057,07037,261,,35558
2057,07089,351,,320451
2058,07037,380,,35558
2058,07089,146,,320451
2058,07089,169,,320451
2058,07089,10,,320451
2058,07089,93,,320451
2058,07089,5,,320451
2058,07089,104,,320451
2058,07089,625,,320451
2058,07089,342,,320451
2058,07089,221,,320451
2058,07089,10,,320451
2058,07089,34,,320451
2058,07089,76,,320451
2058,07089,75,,320451
2058,07089,5,,320451
2058,07089,701,,320451
2058,07089,2184,,320451
2058,07089,2,,320451
2058,07089,489,,320451
2058,07089,6,,320451
2058,07089,70,,320451
2058,07089,7,,320451
2058,07089,1,,320451
2058,07089,102,,320451
2058,07089,212,,320451
2058,07089,5,,320451
2058,07089,53,,320451
2058,07089,2,,320451
2058,07089,12,,320451
2058,07089,1,,320451
2058,07089,6,,320451
2058,07089,2,,320451
2058,07089,6,,320451
2058,07089,216,,320451
2058,07089,5,,320451
2058,07089,154,,320451
2059,07015,22,,43811
2059,07015,2,,43811
2059,07015,11,,43811
2059,07015,99,,43811
2059,07015,7,,43811
2059,07015,3,,43811
2059,07015,4,,43811
2059,07015,1,,43811
2059,07015,1,,43811
2059,07015,9,,43811
2059,07015,1,,43811
2059,07015,11,,43811
2059,07015,13,,43811
2059,07015,6,,43811
2059,07015,140,,43811
2059,07089,372,,320451
2059,07089,194,,320451
2059,07089,116,,320451
2059,07089,264,,320451
2059,07089,117,,320451
2059,07089,64,,320451
2059,07089,475,,320451
2059,07089,98,,320451
2059,07089,248,,320451
2059,07089,13,,320451
2059,07089,1,,320451
2059,07089,782,,320451
2059,07089,978,,320451
2059,07089,112,,320451
2059,07089,54,,320451
2059,07089,587,,320451
2059,07089,343,,320451
2059,07089,579,,320451
2059,07089,14,,320451
2059,07089,2,,320451
2059,07089,282,,320451
2059,07089,3,,320451
2059,07089,17,,320451
2059,07089,13,,320451
2059,07089,15,,320451
2059,07089,48,,320451
2059,07102,570,,37737
2059,07102,18,,37737
2059,07102,298,,37737
2059,07102,988,,37737
2059,07102,458,,37737
2059,07102,62,,37737
2059,07102,1826,,37737
2059,07102,35,,37737
2059,07102,11,,37737
2059,07102,319,,37737
2059,07102,120,,37737
2059,07102,474,,37737
2059,07102,188,,37737
2060,07015,8,,43811
2060,07015,128,,43811
2060,07015,9,,43811
2060,07015,3,,43811
2060,07015,14,,43811
2060,07015,19,,43811
2060,07015,6,,43811
2060,07015,5,,43811
2060,07015,10,,43811
2060,07015,9,,43811
2060,07015,19,,43811
2060,07015,839,,43811
2060,07015,1,,43811
2060,07102,478,,37737
2060,07102,277,,37737
2060,07102,119,,37737
2060,07102,505,,37737
2060,07102,800,,37737
2060,07102,1311,,37737
2060,07102,9,,37737
2060,07102,85,,37737
2060,07102,1,,37737
2060,07102,2,,37737
2060,07102,3,,37737
2060,07102,2,,37737
2060,07102,43,,37737
2404,07003,4,,27580
2405,07003,4,,27580
2405,07003,2,,27580
2405,07003,7,,27580
2406,07071,5,,27899
2406,07071,1,,27899
2406,07071,3,,27899
2406,07071,13,,27899
2406,07071,3,,27899
2406,07071,5,,27899
2406,07071,8,,27899
2406,07071,2,,27899
2406,07071,6,,27899
2406,07071,5,,27899
2406,07071,5,,27899
2406,07071,4,,27899
2407,07040,6,,51359
2407,07040,1,,51359
2407,07040,5,,51359
2407,07040,278,,51359
2407,07040,2,,51359
2407,07040,3,,51359
2407,07040,14,,51359
2407,07040,2,,51359
2407,07040,3,,51359
2407,07040,7,,51359
2407,07040,3,,51359
2407,07040,5,,51359
2407,07040,7,,51359
2407,07040,280,,51359
2407,07071,12,,27899
2407,07071,459,,27899
2407,07071,39,,27899
2407,07071,3,,27899
2407,07071,24,,27899
2407,07071,3,,27899
2407,07071,12,,27899
2407,07071,5,,27899
2407,07071,11,,27899
2407,07071,6,,27899
2407,07071,17,,27899
2408,07037,5,,35558
2408,07040,155,,51359
2408,07040,306,,51359
2408,07040,635,,51359
2408,07040,921,,51359
2408,07040,1123,,51359
2408,07040,1804,,51359
2408,07040,4,,51359
2408,07040,9,,51359
2408,07040,2,,51359
2408,07040,6,,51359
2408,07040,2,,51359
2408,07040,10,,51359
2408,07040,18,,51359
2408,07040,4,,51359
2408,07040,3,,51359
2408,07040,5,,51359
2408,07040,6,,51359
2408,07040,4,,51359
2408,07040,11,,51359
2408,07040,5,,51359
2408,07040,40,,51359
2408,07040,16,,51359
2408,07040,1,,51359
2408,07040,3,,51359
2408,07040,11,,51359
2408,07040,5,,51359
2408,07040,310,,51359
2408,07040,5,,51359
2408,07040,7,,51359
2408,07040,1427,,51359
2408,07040,8,,51359
2408,07040,6,,51359
2408,07040,1062,,51359
2408,07040,7,,51359
2408,07040,913,,51359
2408,07040,1,,51359
2408,07040,176,,51359
2408,07040,13,,51359
2408,07040,271,,51359
2408,07040,5,,51359
2408,07040,736,,51359
2408,07040,2,,51359
2409,07037,7,,35558
2409,07037,33,,35558
2409,07037,2,,35558
2409,07037,275,,35558
2409,07037,7,,35558
2409,07037,251,,35558
2409,07037,1,,35558
2409,07037,21,,35558
2409,07037,6,,35558
2409,07037,29,,35558
2409,07040,860,,51359
2409,07040,284,,51359
2409,07040,184,,51359
2409,07103,5,,28137
2409,07103,6,,28137
2409,07103,4,,28137
2409,07103,14,,28137
2409,07103,12,,28137
2409,07103,486,,28137
2409,07103,323,,28137
2409,07103,474,,28137
2409,07103,9,,28137
2409,07103,7,,28137
2409,07103,12,,28137
2409,07103,2,,28137
2409,07103,11,,28137
2409,07103,1,,28137
2409,07103,3,,28137
2409,07103,9,,28137
2409,07103,16,,28137
2409,07103,9,,28137
2409,07103,4,,28137
2409,07103,8,,28137
2409,07103,45,,28137
2409,07103,5,,28137
2409,07103,423,,28137
2409,07103,911,,28137
2409,07103,952,,28137
2409,07103,410,,28137
2409,07103,1225,,28137
2409,07103,155,,28137
2409,07103,243,,28137
2410,07037,887,,35558
2410,07037,65,,35558
2410,07037,12,,35558
2410,07037,109,,35558
2410,07037,270,,35558
2410,07037,299,,35558
2410,07037,701,,35558
2410,07037,64,,35558
2410,07037,326,,35558
2410,07037,255,,35558
2410,07037,321,,35558
2410,07037,48,,35558
2410,07037,82,,35558
2410,07037,70,,35558
2410,07037,205,,35558
2410,07037,47,,35558
2410,07037,3,,35558
2410,07037,10,,35558
2410,07037,48,,35558
2410,07037,469,,35558
2410,07037,12,,35558
2410,07037,63,,35558
2410,07037,1337,,35558
2410,07037,115,,35558
2410,07037,5,,35558
2410,07037,27,,35558
2410,07037,19,,35558
2410,07037,5,,35558
2410,07037,44,,35558
2410,07037,8,,35558
2410,07037,4,,35558
2410,07037,10,,35558
2410,07037,28,,35558
2410,07037,22,,35558
2410,07037,88,,35558
2410,07089,455,,320451
2410,07089,306,,320451
2410,07089,5,,320451
2410,07089,6,,320451
2410,07089,170,,320451
2410,07089,11,,320451
2410,07103,3,,28137
2410,07103,9,,28137
2410,07103,3,,28137
2410,07103,155,,28137
2410,07103,13,,28137
2410,07103,381,,28137
2410,07103,146,,28137
2410,07103,5,,28137
2410,07103,4,,28137
2410,07103,1089,,28137
2410,07103,113,,28137
2410,07103,119,,28137
2410,07103,4,,28137
2410,07103,6,,28137
2411,07037,174,,35558
2411,07037,103,,35558
2411,07089,6,,320451
2411,07089,5,,320451
2411,07089,865,,320451
2411,07089,2,,320451
2411,07089,2,,320451
2411,07089,144,,320451
2411,07089,251,,320451
2411,07089,135,,320451
2411,07089,825,,320451
2411,07089,58,,320451
2411,07089,40,,320451
2411,07089,60,,320451
2411,07089,145,,320451
2411,07089,3,,320451
2411,07089,83,,320451
2411,07089,144,,320451
2411,07089,5,,320451
2411,07089,127,,320451
2411,07089,90,,320451
2411,07089,43,,320451
2411,07089,21,,320451
2411,07089,173,,320451
2411,07089,112,,320451
2411,07089,199,,320451
2411,07089,5,,320451
2411,07089,128,,320451
2411,07089,73,,320451
2411,07089,5,,320451
2411,07089,112,,320451
2411,07089,48,,320451
2411,07089,7,,320451
2411,07089,14,,320451
2411,07089,62,,320451
2411,07089,529,,320451
2411,07089,765,,320451
2411,07089,23,,320451
2411,07089,287,,320451
2411,07089,215,,320451
2411,07089,438,,320451
2411,07089,157,,320451
2411,07089,6,,320451
2411,07089,161,,320451
2411,07089,425,,320451
2411,07089,195,,320451
2411,07089,2,,320451
2411,07089,121,,320451
2411,07089,19,,320451
2411,07089,68,,320451
2411,07089,986,,320451
2411,07089,351,,320451
2411,07089,5,,320451
2411,07089,4,,320451
2411,07089,512,,320451
2411,07089,187,,320451
2411,07089,154,,320451
2411,07089,102,,320451
2411,07089,8,,320451
2411,07089,30,,320451
2411,07089,290,,320451
2411,07089,2,,320451
2412,07015,2,,43811
2412,07015,7,,43811
2412,07015,25,,43811
2412,07015,21,,43811
2412,07015,9,,43811
2412,07015,14,,43811
2412,07015,151,,43811
2412,07015,7,,43811
2412,07015,781,,43811
2412,07015,69,,43811
2412,07015,26,,43811
2412,07015,111,,43811
2412,07015,89,,43811
2412,07015,1583,,43811
2412,07015,149,,43811
2412,07015,48,,43811
2412,07015,1829,,43811
2412,07015,74,,43811
2412,07015,426,,43811
2412,07015,1473,,43811
2412,07015,13,,43811
2412,07015,8,,43811
2412,07015,4,,43811
2412,07015,34,,43811
2412,07015,2211,,43811
2412,07015,576,,43811
2412,07015,747,,43811
2412,07015,724,,43811
2412,07015,108,,43811
2412,07015,1274,,43811
2412,07089,269,,320451
2412,07089,844,,320451
2412,07089,60,,320451
2412,07089,576,,320451
2412,07089,91,,320451
2412,07089,18,,320451
2412,07089,1,,320451
2412,07089,6,,320451
2412,07089,51,,320451
2412,07089,75,,320451
2412,07089,189,,320451
2412,07089,519,,320451
2412,07089,5,,320451
2412,07089,22,,320451
2412,07089,409,,320451
2412,07089,534,,320451
2412,07089,11,,320451
2412,07089,3,,320451
2412,07089,327,,320451
2412,07089,2,,320451
2412,07089,429,,320451
2412,07089,4,,320451
2412,07089,65,,320451
2412,07089,57,,320451
2412,07089,36,,320451
2413,07015,18,,43811
2413,07015,2,,43811
2413,07015,10,,43811
2413,07015,15,,43811
2413,07015,29,,43811
2413,07015,644,,43811
2413,07015,1502,,43811
2413,07015,2356,,43811
2413,07015,190,,43811
2413,07015,338,,43811
2413,07015,733,,43811
2413,07015,328,,43811
2413,07015,525,,43811
2413,07015,288,,43811
2413,07015,56,,43811
2413,07015,443,,43811
2413,07015,271,,43811
2413,07015,215,,43811
2413,07015,37,,43811
2413,07105,19,,14089
2413,07105,245,,14089
2413,07105,975,,14089
2413,07105,17,,14089
2413,07105,723,,14089
2413,07105,16,,14089
2413,07105,1209,,14089
2413,07105,395,,14089
2413,07105,185,,14089
2413,07105,7,,14089
2413,07105,317,,14089
2413,07105,110,,14089
2413,07105,179,,14089
2413,07105,361,,14089
2413,07105,288,,14089
2413,07105,4,,14089
2413,07105,105,,14089
2413,07105,315,,14089
2413,07105,2,,14089
2413,07105,123,,14089
2413,07105,3,,14089
2413,07105,4,,14089
2413,07105,51,,14089
2413,07105,2,,14089
2413,07105,3,,14089
2413,07105,101,,14089
2413,07105,3,,14089
2413,07105,117,,14089
2413,07105,775,,14089
2413,07105,530,,14089
2413,07105,331,,14089
2413,07105,108,,14089
2414,07105,20,,14089
2414,07105,11,,14089
2757,07003,16,,27580
2757,07003,1,,27580
2757,07003,678,,27580
2757,07003,144,,27580
2757,07003,385,,27580
2757,07003,88,,27580
2757,07003,10,,27580
2758,07003,393,,27580
2758,07003,19,,27580
2758,07003,4,,27580
2758,07003,7,,27580
2758,07003,6,,27580
2758,07003,2,,27580
2758,07003,120,,27580
2758,07003,8,,27580
2758,07003,2,,27580
2758,07003,12,,27580
2758,07003,6,,27580
2758,07003,7,,27580
2758,07003,2,,27580
2759,07003,79,,27580
2759,07003,2,,27580
2759,07003,134,,27580
2759,07003,1,,27580
2759,07003,98,,27580
2759,07003,6,,27580
2759,07003,1157,,27580
2759,07003,1,,27580
2759,07003,4,,27580
2759,07003,1,,27580
2759,07003,7,,27580
2759,07003,602,,27580
2759,07003,302,,27580
2759,07003,387,,27580
2759,07003,381,,27580
2759,07003,2,,27580
2759,07003,6,,27580
2759,07003,91,,27580
2759,07003,4,,27580
2759,07071,771,,27899
2759,07071,88,,27899
2759,07071,10,,27899
2759,07071,293,,27899
2759,07071,528,,27899
2759,07071,189,,27899
2759,07071,294,,27899
2759,07071,20,,27899
2759,07071,267,,27899
2759,07071,4,,27899
2759,07071,69,,27899
2760,07071,11,,27899
2760,07071,4,,27899
2760,07071,327,,27899
2760,07071,336,,27899
2760,07071,337,,27899
2760,07071,4,,27899
2760,07071,518,,27899
2760,07071,1,,27899
2760,07071,5,,27899
2760,07071,6,,27899
2760,07071,552,,27899
2760,07071,5,,27899
2760,07071,6,,27899
2760,07071,14,,27899
2760,07071,138,,27899
2760,07071,856,,27899
2760,07071,15,,27899
2760,07071,5,,27899
2760,07071,1640,,27899
2760,07071,44,,27899
2760,07071,3,,27899
2760,07071,1076,,27899
2760,07071,110,,27899
2760,07071,2,,27899
2760,07071,2,,27899
2760,07071,828,,27899
2760,07071,610,,27899
2760,07071,11,,27899
2760,07071,211,,27899
2760,07071,3,,27899
2760,07071,1,,27899
2760,07071,146,,27899
2761,07040,252,,51359
2761,07040,9,,51359
2761,07040,4,,51359
2761,07040,2,,51359
2761,07040,2,,51359
2761,07040,2,,51359
2761,07040,1,,51359
