GRIDCODE,CVE ENTMUN,POB  RURAL EN CELL,POB  URB EN CELL,POB TOTAL RURAL EN MUN
293,07087,71,,35056
293,07087,172,,35056
294,07087,104,,35056
294,07087,24,,35056
294,07087,10,,35056
294,07087,949,,35056
294,07087,752,,35056
294,07087,581,,35056
294,07087,7,,35056
294,07087,8,,35056
294,07087,66,,35056
294,07087,10,,35056
294,07087,2,,35056
294,07087,14,,35056
294,07087,10,,35056
294,07087,161,,35056
294,07087,5,,35056
294,07087,883,,35056
294,07087,12,,35056
294,07087,9,,35056
294,07087,27,,35056
294,07087,17,,35056
294,07087,1,,35056
294,07087,18,,35056
295,07087,83,,35056
645,07089,243,,320451
645,07089,457,,320451
645,07089,3,,320451
646,07087,5,,35056
646,07087,354,,35056
646,07087,3,,35056
646,07087,14,,35056
646,07087,795,,35056
646,07087,7,,35056
646,07087,5,,35056
646,07087,2,,35056
646,07087,8,,35056
646,07087,66,,35056
646,07087,24,,35056
646,07087,13,,35056
646,07087,26,,35056
646,07087,38,,35056
646,07087,13,,35056
646,07087,35,,35056
646,07087,5,,35056
646,07087,9,,35056
646,07089,367,,320451
646,07089,11,,320451
646,07089,12,,320451
646,07089,11,,320451
646,07089,54,,320451
646,07089,54,,320451
646,07089,2,,320451
646,07089,9,,320451
646,07089,18,,320451
646,07089,12,,320451
646,07089,33,,320451
646,07089,27,,320451
646,07089,35,,320451
646,07089,40,,320451
646,07089,421,,320451
646,07089,6,,320451
646,07089,9,,320451
646,07089,3,,320451
646,07089,119,,320451
647,07087,137,,35056
647,07087,2,,35056
647,07087,78,,35056
647,07087,6,,35056
647,07087,7,,35056
647,07087,8,,35056
647,07087,7,,35056
647,07087,1,,35056
647,07087,205,,35056
647,07087,81,,35056
647,07087,4,,35056
647,07087,105,,35056
647,07087,6,,35056
647,07087,11,,35056
647,07087,4,,35056
647,07087,11,,35056
647,07087,4,,35056
647,07087,8,,35056
647,07087,5,,35056
647,07087,7,,35056
647,07087,9,,35056
647,07087,3,,35056
647,07087,35,,35056
647,07087,754,,35056
647,07087,8,,35056
647,07087,11,,35056
647,07087,102,,35056
647,07087,6,,35056
647,07087,24,,35056
647,07087,101,,35056
647,07087,15,,35056
647,07087,4,,35056
647,07087,3,,35056
647,07087,5,,35056
647,07087,9,,35056
647,07087,6,,35056
647,07087,5,,35056
647,07087,510,,35056
647,07087,6,,35056
647,07087,6,,35056
647,07087,3,,35056
647,07087,93,,35056
647,07087,1,,35056
647,07087,17,,35056
647,07087,4,,35056
647,07087,5,,35056
647,07087,8,,35056
647,07087,6,,35056
647,07087,17,,35056
647,07087,4,,35056
647,07087,10,,35056
647,07087,1,,35056
647,07087,5,,35056
647,07087,1,,35056
647,07087,6,,35056
647,07087,20,,35056
647,07087,4,,35056
647,07087,301,,35056
647,07087,138,,35056
647,07087,4,,35056
647,07087,12,,35056
647,07087,34,,35056
647,07087,134,,35056
647,07087,82,,35056
647,07087,66,,35056
647,07087,4,,35056
647,07087,490,,35056
647,07087,46,,35056
647,07087,802,,35056
647,07087,24,,35056
647,07087,115,,35056
647,07087,99,,35056
648,07087,1573,,35056
648,07087,797,,35056
648,07087,11,,35056
648,07087,15,,35056
648,07087,8,,35056
648,07087,7,,35056
648,07087,4,,35056
648,07087,9,,35056
648,07087,2,,35056
648,07087,5,,35056
648,07087,28,,35056
648,07087,9,,35056
648,07087,6,,35056
648,07087,16,,35056
648,07087,6,,35056
648,07087,52,,35056
648,07087,56,,35056
648,07087,91,,35056
648,07087,318,,35056
648,07087,7,,35056
648,07087,645,,35056
648,07087,658,,35056
997,07054,11,,26573
997,07054,198,,26573
997,07054,5,,26573
997,07054,248,,26573
997,07089,4,,320451
997,07089,177,,320451
998,07054,2,,26573
998,07089,3,,320451
998,07089,10,,320451
998,07089,4,,320451
998,07089,11,,320451
998,07089,61,,320451
998,07089,27,,320451
998,07089,1726,,320451
998,07089,152,,320451
998,07089,5,,320451
998,07089,3,,320451
998,07089,8,,320451
998,07089,2,,320451
998,07089,1,,320451
998,07089,4,,320451
998,07089,1,,320451
