 GRID, CVE_ENT_MUN, frac, suma
   30177,  1001,  2.0128191E-03,  2.7317735E+06
   30178,  1001,  1.2417771E-01,  2.7317735E+06
   30179,  1001,  4.8803233E-02,  2.7317735E+06
   30530,  1001,  5.1934863E-03,  2.7317735E+06
   30531,  1001,  5.9697819E-01,  2.7317735E+06
   30532,  1001,  1.9580270E-01,  2.7317735E+06
   30884,  1001,  1.7025525E-02,  2.7317735E+06
   30885,  1001,  1.0006410E-02,  2.7317735E+06
   31239,  1002,  4.2375606E-03,  1.0043775E+05
   31240,  1002,  5.1192796E-01,  1.0043775E+05
   31593,  1002,  7.3244544E-03,  1.0043775E+05
   31945,  1002,  2.8304407E-01,  1.0043775E+05
   31946,  1002,  1.9346590E-01,  1.0043775E+05
   30173,  1003,  6.4202154E-01,  1.6898511E+05
   30526,  1003,  4.7402792E-02,  1.6898511E+05
   30527,  1003,  3.1057569E-01,  1.6898511E+05
   32649,  1004,  1.0000000E+00,  3.1766602E+04
   30531,  1005,  1.3047583E-02,  3.1387366E+05
   30883,  1005,  3.7509969E-01,  3.1387366E+05
   30884,  1005,  6.1185271E-01,  3.1387366E+05
   31237,  1006,  6.1926297E-03,  9.8414219E+04
   31590,  1006,  9.9380744E-01,  9.8414219E+04
   31589,  1007,  2.1903846E-02,  1.1967451E+05
   31590,  1007,  1.0046560E-01,  1.1967451E+05
   31943,  1007,  8.7763059E-01,  1.1967451E+05
   31589,  1008,  1.0000000E+00,  7.8633625E+04
   31944,  1009,  8.0738860E-01,  5.5818699E+04
   31945,  1009,  1.9261135E-01,  5.5818699E+04
   30535,  1010,  1.0000000E+00,  5.0853766E+04
   30884,  1011,  8.0852345E-02,  8.7436305E+04
   31237,  1011,  9.1914755E-01,  8.7436305E+04
   69922,  2001,  5.5616810E-03,  4.3104585E+06
   70275,  2001,  3.0543549E-02,  4.3104585E+06
   70628,  2001,  8.2533192E-03,  4.3104585E+06
   70980,  2001,  1.0761950E-02,  4.3104585E+06
   70981,  2001,  1.7206141E-03,  4.3104585E+06
   71333,  2001,  3.0026186E-02,  4.3104585E+06
   71334,  2001,  6.3185632E-04,  4.3104585E+06
   71686,  2001,  1.6630406E-02,  4.3104585E+06
   72743,  2001,  3.9952928E-03,  4.3104585E+06
   72744,  2001,  2.5578414E-03,  4.3104585E+06
   73802,  2001,  9.0302164E-03,  4.3104585E+06
   73803,  2001,  9.6426911E-06,  4.3104585E+06
   74161,  2001,  9.7511783E-03,  4.3104585E+06
   75564,  2001,  6.6368678E-03,  4.3104585E+06
   75565,  2001,  2.6847545E-02,  4.3104585E+06
   75917,  2001,  4.5783155E-02,  4.3104585E+06
   75918,  2001,  2.2201130E-02,  4.3104585E+06
   76270,  2001,  1.1985181E-01,  4.3104585E+06
   76271,  2001,  4.2244472E-02,  4.3104585E+06
   76274,  2001,  5.4884632E-03,  4.3104585E+06
   76622,  2001,  1.5717026E-02,  4.3104585E+06
   76623,  2001,  4.3751132E-02,  4.3104585E+06
   76624,  2001,  4.0137287E-02,  4.3104585E+06
   76627,  2001,  3.3994049E-03,  4.3104585E+06
   77330,  2001,  7.1262065E-03,  4.3104585E+06
   72052,  2002,  1.8506061E-02,  7.4351095E+06
   76993,  2002,  7.7692319E-05,  7.4351095E+06
   77345,  2002,  7.1774921E-03,  7.4351095E+06
   77346,  2002,  1.1354743E-03,  7.4351095E+06
   77347,  2002,  6.5208320E-03,  7.4351095E+06
   77698,  2002,  2.8930528E-03,  7.4351095E+06
