 GRID, CVE_ENT_MUN, frac, suma
     294,  7087,  2.3792453E-01,  7.5871414E+04
     295,  7087,  2.1686065E-03,  7.5871414E+04
     645,  7089,  9.9787666E-03,  4.7771834E+05
     646,  7089,  4.9534917E-02,  4.7771834E+05
     647,  7087,  1.6662223E-03,  7.5871414E+04
     648,  7087,  2.7125344E-01,  7.5871414E+04
     997,  7054,  1.6871284E-01,  1.2155738E+05
     998,  7089,  1.0732669E-01,  4.7771834E+05
     999,  7089,  5.8656085E-02,  4.7771834E+05
    1000,  7035,  6.2480950E-01,  3.0190107E+04
    1001,  7087,  2.5609511E-01,  7.5871414E+04
    1349,  7054,  1.8325149E-01,  1.2155738E+05
    1350,  7054,  2.6676401E-01,  1.2155738E+05
    1351,  7089,  9.6744336E-02,  4.7771834E+05
    1352,  7089,  1.0209414E-01,  4.7771834E+05
    1353,  7055,  3.5130320E+00,  1.2404875E+04
    1354,  7035,  6.3882269E-02,  3.0190107E+04
    1701,  7054,  9.3191274E-02,  1.2155738E+05
    1702,  7054,  1.9291766E-02,  1.2155738E+05
    1703,  7054,  3.1280661E-01,  1.2155738E+05
    1704,  7089,  8.9324050E-02,  4.7771834E+05
    1705,  7089,  1.7250612E-01,  4.7771834E+05
    1706,  7102,  5.0556374E-01,  1.2661721E+05
    1707,  7102,  1.5702255E-01,  1.2661721E+05
    2056,  7037,  1.3794017E-01,  1.0695018E+05
    2057,  7037,  5.0136715E-01,  1.0695018E+05
    2058,  7089,  2.3210289E-02,  4.7771834E+05
    2059,  7089,  7.7243246E-02,  4.7771834E+05
    2060,  7102,  1.6913496E-01,  1.2661721E+05
    2409,  7103,  3.1747654E-01,  7.8345117E+04
    2410,  7103,  5.0473499E-01,  7.8345117E+04
    2411,  7089,  9.9158317E-02,  4.7771834E+05
    2412,  7089,  3.7846923E-02,  4.7771834E+05
    2413,  7105,  1.3465325E+00,  2.4177883E+04
    2758,  7003,  4.4288334E-02,  5.1483691E+04
    2761,  7071,  1.1119500E+00,  3.6090465E+04
    2762,  7103,  6.8554682E-01,  7.8345117E+04
    2763,  7103,  1.9701539E-01,  7.8345117E+04
    2764,  7089,  2.2679120E-02,  4.7771834E+05
    2765,  7089,  4.5455400E-02,  4.7771834E+05
    3111,  7003,  1.8215363E-01,  5.1483691E+04
    3112,  7003,  2.1866426E-01,  5.1483691E+04
    3113,  7071,  1.1854498E+00,  3.6090465E+04
    3114,  7071,  1.1740300E-01,  3.6090465E+04
    3115,  7057,  1.2925254E-01,  1.6114155E+05
    3116,  7057,  5.6385784E-03,  1.6114155E+05
    3117,  7057,  4.5494892E-02,  1.6114155E+05
    3118,  7057,  1.5719840E-01,  1.6114155E+05
    3461,  7051,  3.9804500E-02,  1.3400136E+05
    3462,  7051,  1.3187943E-01,  1.3400136E+05
    3464,  7001,  4.6185383E-01,  4.8473215E+04
    3465,  7001,  1.2316589E+00,  4.8473215E+04
    3466,  7032,  2.5384399E-01,  9.9228344E+04
    3467,  7032,  1.8795671E-01,  9.9228344E+04
    3468,  7057,  5.9536099E-02,  1.6114155E+05
    3469,  7057,  1.9196737E-01,  1.6114155E+05
    3470,  7057,  2.2858876E-01,  1.6114155E+05
    3471,  7053,  2.4101484E-01,  1.8755150E+04
    3812,  7069,  5.6304708E-02,  2.9020656E+05
    3813,  7051,  1.0601190E-01,  1.3400136E+05
    3814,  7051,  5.7654589E-02,  1.3400136E+05
    3815,  7051,  1.9099200E-01,  1.3400136E+05
    3816,  7051,  2.5054881E-01,  1.3400136E+05
    3817,  7051,  1.6040680E-01,  1.3400136E+05
    3822,  7057,  1.5364401E-01,  1.6114155E+05
    3823,  7057,  1.6106446E-01,  1.6114155E+05
    3824,  7057,  1.3564189E-01,  1.6114155E+05
    4122, 20439,  6.6588633E-02,  1.3207203E+05
    4123, 20439,  1.2998454E-01,  1.3207203E+05
    4124, 20439,  2.5403517E-01,  1.3207203E+05
    4125, 20324,  2.7939162E-01,  1.1947602E+05
    4126, 20324,  9.9655300E-02,  1.1947602E+05
    4128, 20413,  4.9620096E-02,  2.2658473E+05
    4164,  7069,  1.0797660E-02,  2.9020656E+05
    4165,  7069,  9.1797402E-03,  2.9020656E+05
    4167,  7051,  2.3362437E-01,  1.3400136E+05
    4168,  7051,  2.5681216E-01,  1.3400136E+05
    4175,  7080,  5.5155629E-01,  3.1139570E+04
    4176,  7070,  1.3592650E+00,  3.5213016E+04
    4177,  7036,  5.9026951E-01,  2.7625947E+04
    4178,  7006,  3.5109520E-01,  6.7357398E+04
    4472, 20401,  1.2192775E-01,  1.0057787E+05
    4473, 20401,  1.9164072E-01,  1.0057787E+05
    4474, 20401,  3.2964909E-01,  1.0057787E+05
    4475, 20439,  2.1051948E-01,  1.3207203E+05
    4476, 20439,  5.0177552E-02,  1.3207203E+05
    4478, 20439,  1.9005878E-01,  1.3207203E+05
    4479, 20324,  2.0212826E-01,  1.1947602E+05
    4480, 20413,  9.8663390E-02,  2.2658473E+05
    4481, 20413,  2.1834917E-01,  2.2658473E+05
    4482, 20413,  1.7947823E-01,  2.2658473E+05
    4483, 20413,  1.9226950E-01,  2.2658473E+05
    4517,  7069,  5.9461635E-02,  2.9020656E+05
    4518,  7069,  2.9386912E-02,  2.9020656E+05
    4519,  7069,  1.5399694E-01,  2.9020656E+05
    4520,  7069,  5.1586647E-02,  2.9020656E+05
    4528,  7080,  3.1456637E-01,  3.1139570E+04
    4529,  7011,  1.0994941E+00,  1.9535262E+04
    4530,  7006,  1.9043106E-01,  6.7357398E+04
    4531,  7006,  1.8214455E-01,  6.7357398E+04
    4824, 20318,  3.1796345E-01,  1.0389598E+05
    4825, 20401,  3.0838963E-01,  1.0057787E+05
    4826, 20401,  6.4134605E-02,  1.0057787E+05
    4827, 20401,  6.3048601E-02,  1.0057787E+05
    4829, 20509,  1.5836296E+00,  5.8907793E+03
    4831, 20324,  9.9020153E-02,  1.1947602E+05
    4832, 20324,  9.1368146E-02,  1.1947602E+05
    4833, 20324,  1.7107455E-01,  1.1947602E+05
    4834, 20266,  2.8471005E-01,  1.0911611E+05
    4836, 20413,  1.0934433E-01,  2.2658473E+05
    4837, 20307,  2.8406394E-01,  1.1055845E+05
    4838, 20307,  9.3199965E-03,  1.1055845E+05
    4870,  7069,  1.6538152E-01,  2.9020656E+05
    4871,  7069,  9.5786139E-02,  2.9020656E+05
    4882,  7011,  1.2124176E-01,  1.9535262E+04
    4883,  7011,  1.7232928E+00,  1.9535262E+04
    4884,  7006,  2.5149316E-02,  6.7357398E+04
    4885,  7006,  1.3058685E-01,  6.7357398E+04
    5172, 20334,  3.3068750E-02,  2.3505009E+05
    5173, 20334,  5.4801490E-02,  2.3505009E+05
    5174, 20334,  8.1688419E-02,  2.3505009E+05
    5175, 20334,  8.9701951E-02,  2.3505009E+05
    5176, 20318,  2.0427677E-01,  1.0389598E+05
    5177, 20318,  3.4952569E-01,  1.0389598E+05
    5178, 20318,  1.3603657E-01,  1.0389598E+05
    5184, 20012,  9.5642716E-01,  3.2243021E+04
    5185, 20012,  5.0935858E-01,  3.2243021E+04
    5186, 20324,  2.0428349E-03,  1.1947602E+05
    5187, 20266,  2.0236677E-01,  1.0911611E+05
    5188, 20266,  2.3257068E-01,  1.0911611E+05
    5189, 20266,  2.1102154E-01,  1.0911611E+05
    5190, 20307,  1.9299410E-01,  1.1055845E+05
    5191, 20307,  1.8009762E-01,  1.1055845E+05
    5192, 20307,  1.8826386E-01,  1.1055845E+05
    5193, 20307,  7.5881526E-02,  1.1055845E+05
    5218,  7097,  1.7290488E-03,  4.4032375E+05
    5219,  7097,  2.5851822E-02,  4.4032375E+05
    5220,  7097,  2.3056318E-03,  4.4032375E+05
    5221,  7069,  1.0987452E-01,  2.9020656E+05
    5222,  7069,  1.4126517E-01,  2.9020656E+05
    5223,  7069,  9.0282848E-03,  2.9020656E+05
    5231,  7117,  1.0000000E+00,  1.7003101E+02
    5234,  7030,  3.8590934E-02,  6.1927633E+04
    5235,  7011,  1.3632624E+00,  1.9535262E+04
    5236,  7011,  5.7032257E-01,  1.9535262E+04
    5237,  7034,  1.6982456E-01,  1.1873047E+05
    5238,  7034,  2.3231672E-01,  1.1873047E+05
    5523, 20334,  5.0969969E-02,  2.3505009E+05
    5524, 20334,  9.9116981E-02,  2.3505009E+05
    5525, 20334,  8.5069031E-02,  2.3505009E+05
    5526, 20364,  4.3308181E-01,  6.6282547E+04
    5530, 20153,  6.2427431E-01,  4.9219551E+04
