LATC,LONC,SCC,ANNCO,ANNNOX,ANNPM10,ANNPM25,ANNSO2,ANNVOC,Capa,STKHGT,STKDIAM,STKTEMP,STKFLOW,STKVEL,F,H efectiva
19.150411,-104.2758,30302401,0.1587328,0.6349311,1.725337,0.8447009,0.2028252,0.01763698,3,40.2,3.2144,108,615.66,75.9,34.2,278
19.150411,-104.2758,40400101,0.05533601,0.2491223,0.01730628,0.01730628,0.01620397,132.2974,7,10.4,0.5248,68,0.59,2.7,0,31.1
19.150411,-104.2758,40400101,0.003196702,0.004739937,0.003306933,0.003306933,0.003086471,377.4698,7,10.4,0.5248,68,0.59,2.7,0,31.1
18.886891,-103.8114,30500601,21.25297,231.9979,235.4152,158.6494,376.1483,6.768752,2,137,10.496,224,5108.38,59,102.8,425.4
16.244444,-93.9125,30200701,2.357182,13.9288,30.77839,11.82464,87.27573,0.2509756,3,63.8,2.6896,138,249.9,44,11.6,204.7
16.708055,-93.01166,10300502,2.799777,11.19911,1.128649,0.33609,23.8541,4.512544,3,39.3,1.476,1250,67.35,39.4,19.7,233.2
16.705555,-93.00361,30203001,2.824835,30.95189,17.72305,11.54346,317.5082,0.7195951,3,58.4,3.2964,205,392.46,46,10.2,195.2
16.7,-93,30501601,3.596062,39.55668,183.591,92.09625,64.36229,0.920592,3,23.2,1.9024,363,209.77,73.8,4.7,144
15.089018,-92.5546,10201101,41.8777,14.06619,55.47391,23.53399,48.79675,18.86813,3,246,8.2,262,658.23,12.5,5.6,220.6
15.089018,-92.5546,10201101,108.4412,36.42403,143.6482,60.94064,126.3579,48.85852,3,183,6.56,260,1363.57,40.3,12.5,245.7
15.089018,-92.5546,10201101,143.7066,48.26925,190.3631,80.75873,167.4499,64.74747,3,82,6.56,260,1807,53.5,16.5,233.6
15.089018,-92.5546,10201101,7.142975,607.682,1526.589,823.0311,807.442,530.9379,2,99.9,5.904,464,718.37,26.2,38.1,306.1
17.704694,-93.18782,31000201,1.510276,5.034255,0.1366866,0.1366866,0.01080265,0.0988773,3,4.92,2.8864,890,215.91,33,39.5,280.4
16.818539,-93.49064,30200701,5.555647,26.66711,58.66327,20.12335,52.3342,1.155575,3,63.8,2.6896,138,249.9,44,11.6,204.7
17.383333,-93.35222,31000201,0.04195154,0.1398385,0.003795615,0.003795615,0.000299654,20.78353,3,4.92,2.8864,890,215.91,33,39.5,280.4
17.483333,-93.47083,31000201,0.1872837,1.345321,0.02278618,0.02278618,,38.06656,3,4.92,2.8864,890,215.91,33,39.5,280.4
17.544553,-93.19613,31000201,0.04195176,0.1398392,0.003795636,0.003795636,0.000299656,5.942658,3,4.92,2.8864,890,215.91,33,39.5,280.4
17.516666,-93.11666,31000201,0.1872846,1.345328,0.02278629,0.02278629,,2.879419,3,4.92,2.8864,890,215.91,33,39.5,280.4
17.864088,-93.22847,31000201,3.366195,11.22065,0.3045605,0.3045605,0.02404425,0.9151123,3,4.92,2.8864,890,215.91,33,39.5,280.4
17.864088,-93.22847,31000201,3.366237,11.22075,0.3045685,0.3045685,0.02403038,1.265939,3,4.92,2.8864,890,215.91,33,39.5,280.4
17.864088,-93.22847,31000201,3.366237,11.22075,0.3045685,0.3045685,0.02403038,3.085396,3,4.92,2.8864,890,215.91,33,39.5,280.4
17.864088,-93.22847,31000201,2.144546,7.148597,0.1940067,0.1940067,0.1532212,61.15008,3,35.5,2.8864,430,215.91,33,9.2,182.5
17.866666,-93.15,30600102,16.92689,20.14304,1.531354,1.531354,194.537,2.849199,3,128,4.9856,383,184.41,9.4,5.2,181.2
17.866666,-93.15,30600102,15.08016,17.94542,1.364282,1.364282,194.537,2.538349,3,34.4,3.28,552,108.09,12.8,8.6,178.5
17.866666,-93.15,30600102,10.82678,12.88389,0.9794845,0.9794845,194.537,1.822405,3,34.4,3.28,572,77.6,9.2,6.7,164.7
17.866666,-93.15,10200601,188.5406,224.3637,17.05702,17.05702,194.537,31.73587,3,147,7.544,307,3108.15,69.5,16.1,251.7
17.866666,-93.15,10200601,188.5406,224.3637,17.05702,17.05702,194.537,31.73587,3,147,7.544,307,3108.15,69.5,16.1,251.7
17.866666,-93.15,10200601,177.8685,211.6639,16.09153,16.09153,194.537,29.9395,3,147,7.544,307,2932.22,65.6,15.2,247.7
17.866666,-93.15,30600102,10.90798,12.98052,0.9868307,0.9868307,194.537,1.836073,3,44.7,2.9848,500,71.15,10.2,4.6,149.4
17.866666,-93.15,30609904,88.93425,105.8319,8.045766,8.045766,23830.78,14.96975,2,100,6.56,1112,1274.88,37.7,319.5,590.4
17.866666,-93.15,30609904,88.93425,105.8319,8.045766,8.045766,23830.78,14.96975,2,100,6.56,1112,1274.88,37.7,319.5,590.4
17.866666,-93.15,30609904,88.93425,105.8319,8.045766,8.045766,23830.78,14.96975,2,100,6.56,1112,1274.88,37.7,319.5,590.4
17.866666,-93.15,30609904,88.93425,105.8319,8.045766,8.045766,23830.78,14.96975,2,100,6.56,1112,1274.88,37.7,319.5,590.4
17.866666,-93.15,30600102,10.82678,12.88389,0.9794845,0.9794845,194.537,1.822405,3,34.4,3.28,527,77.6,9.2,5.6,156
17.866666,-93.15,30600906,15.33149,18.2445,1.38702,1.38702,194.537,2.580655,2,157,2.0008,1963,67.03,21.3,34.2,313.7
17.866666,-93.15,30600102,13.53347,16.10486,1.224356,1.224356,194.537,2.278006,3,34.4,3.28,537,97,11.5,7.3,169.4
16.733333,-92.63333,30799901,0.6084757,2.433903,0.1216951,0.03042378,5.184213,0.03066717,3,41,3.9032,145,323,27,14.3,211.2
14.9,-92.26666,40400101,,,,,,122.3741,7,10.4,0.5248,68,0.59,2.7,0,31.1
14.881666,-92.28083,30701201,0.4961061,5.350221,3.037802,1.977608,54.48298,1.490728,4,48.4,2.5912,99.6,61.92,11.7,3.6,140.2
16.732431,-93.13772,30501601,0.9241776,10.1654,92.0993,45.58298,16.53985,0.2365559,3,60.1,3.8048,190,421.22,37,12.8,210.1
16.766388,-93.19166,40400101,,,,,,305.7616,7,10.4,0.5248,68,0.59,2.7,0,31.1
16.766388,-93.19166,10201101,167.5944,51.77437,218.2907,91.53812,111.9246,75.84588,3,98.4,6.396,356,853.62,26.6,17.2,241.3
16.766388,-93.19166,10201101,230.6558,71.25573,300.4279,125.9816,154.039,104.3847,2,246,9.02,347,1739.62,27.2,30.2,330.1
16.766388,-93.19166,10201101,211.3646,65.29617,275.3012,115.4449,141.1557,95.65438,2,98.4,7.9704,365,1374.68,27.6,31.4,288.5
16.766388,-93.19166,10201101,165.5751,51.15058,215.6607,90.43525,110.5761,74.93208,3,98.4,6.396,365,864.16,26.9,19.8,251.4
16.102823,-93.20101,10201101,1.192956,110.3888,279.875,150.8041,134.8517,97.57171,3,98.4,6.396,356,843.08,26.2,17,240.4
16.102823,-93.20101,10201101,1.641834,151.9253,385.1848,207.5478,185.593,134.2854,2,246,9.02,347,1676.74,26.2,29.1,327
16.102823,-93.20101,10201101,1.504517,139.2188,352.9694,190.1893,170.0706,123.0543,3,98.4,7.9704,365,1309.22,26.2,29.9,284.3
16.102823,-93.20101,10201101,1.178583,109.0588,276.503,148.9872,133.227,96.39615,3,98.4,6.396,365,843.08,26.2,19.3,249.6
17.192253,-92.32249,30299901,0.4807487,2.189878,0.09828205,0.03875726,3.382185,0.04311182,3,49.1,1.8532,157,97.23,36,3.9,144.4
19.484299,-99.18233,30799901,,,,,,19.97608,3,41,3.9032,145,323,27,14.3,211.2
19.484299,-99.18233,30801001,,,,,,3.54102,4,29.3,0.6888,110,7.57,20.3,0.4,70
19.484299,-99.18233,31299901,,,,,,4.532879,4,30.5,1.9024,163,65.36,23,2.5,120.9
19.484299,-99.18233,30501101,,,3.823169,3.398373,,,3,32.8,1.968,80.6,89.8,29.5,5.7,156.6
19.484299,-99.18233,30799901,0.2565122,1.853999,0.04012765,0.04012765,0.04584203,9.863555,3,41,3.9032,145,323,27,14.3,211.2
19.484299,-99.18233,30103301,,,,,,8.631051,4,59.7,2.3452,333,133.04,30.8,1.7,116.8
19.484299,-99.18233,30203201,2.884315,3.433708,0.7285954,0.3945714,0.02060225,0.1888539,5,40.2,1.2136,316,28.34,24.5,0.2,62
19.484299,-99.18233,30700801,0.06858579,0.2743432,0.0826157,0.05380967,2.914896,0.003452152,3,47.4,2.8864,136,209.04,31.9,9.8,189.8
19.484299,-99.18233,30203201,2.421286,2.882483,2.698188,0.9273886,0.0172949,0.1585366,5,40.2,1.2136,316,28.34,24.5,0.2,62
19.484299,-99.18233,30899901,1.081642,1.32291,0.09824785,0.09824785,0.00872751,12.17559,3,36.2,2.0008,148,104.05,33.1,4.5,146.3
19.484299,-99.18233,30200901,14.93371,17.77822,6.906792,2.938473,0.1066693,0.9778021,3,81.4,2.3944,143,96.74,21.5,4.3,158.4
19.484299,-99.18233,31399901,0.001818376,0.01314271,0.000284459,0.000284459,0.000324967,5.199254,4,37.3,1.7056,122,60.33,26.4,3.1,130.7
19.484299,-99.18233,30799901,,,,,,26.2835,3,41,3.9032,145,323,27,14.3,211.2
19.484299,-99.18233,30299901,0.06680005,0.4828122,2.092418,0.6052979,0.01193803,0.01851883,3,49.1,1.8532,157,97.23,36,3.9,144.4
19.484299,-99.18233,31499901,1.778463,12.85424,0.278215,0.278215,0.3178343,6.505423,4,29.8,1.804,141,37.06,14.5,1.7,106.5
19.484299,-99.18233,30799901,0.02484962,0.1796062,11.01064,7.727922,0.004440947,0.9522558,3,41,3.9032,145,323,27,14.3,211.2
19.484299,-99.18233,30900199,0.000399732,0.002889148,6.25E-05,6.25E-05,7.14E-05,1.957274,4,29.5,2.0992,178,86.33,24.9,2.9,126.4
19.484299,-99.18233,33000101,0.7061405,5.10359,1.103193,0.7740428,0.1262146,0.1957704,4,36.6,2.9356,247,239.21,35.3,3.1,131
19.496944,-99.17027,30200701,1.351133,1.608492,0.1222454,0.1222454,0.009650953,0.08846708,3,63.8,2.6896,138,249.9,44,11.6,204.7
19.506111,-99.2,31499901,0.8347802,6.03383,1.304254,1.252115,0.1491427,0.2314853,4,29.8,1.804,141,37.06,14.5,1.7,106.5
19.484299,-99.18233,31399901,2.199233,15.89545,0.3440385,0.3440385,0.3930313,0.6096884,4,37.3,1.7056,122,60.33,26.4,3.1,130.7
19.484299,-99.18233,30799901,,,1.110027,0.7789664,,2.543031,3,41,3.9032,145,323,27,14.3,211.2
19.484299,-99.18233,30701201,2.455352,2.923038,0.2221509,0.2221509,0.01753823,38.71961,4,48.4,2.5912,99.6,61.92,11.7,3.6,140.2
19.484299,-99.18233,30501101,,,21.49507,19.10672,,,3,32.8,1.968,80.6,89.8,29.5,5.7,156.6
19.484299,-99.18233,36000101,,,,,,1.308374,3,39.9,2.0008,170,154.69,49.2,5.7,158.1
19.464444,-99.15611,30799901,6.776099,8.066784,0.6130756,0.6130756,0.04840071,0.4436731,3,41,3.9032,145,323,27,14.3,211.2
19.484299,-99.18233,30801001,,,,,,16.7139,4,29.3,0.6888,110,7.57,20.3,0.4,70
19.484299,-99.18233,30701201,,,,,,48.86192,4,48.4,2.5912,99.6,61.92,11.7,3.6,140.2
19.484299,-99.18233,30700401,2.020659,2.405547,0.1828216,0.1828216,0.01443328,1.613811,3,50.9,2.5912,131,112,21.2,5.4,159.5
19.484299,-99.18233,30900199,0.3340002,2.414061,0.05224954,0.05224954,0.05969014,0.09259412,4,29.5,2.0992,178,86.33,24.9,2.9,126.4
19.484299,-99.18233,30899901,,,,,,1.367218,3,36.2,2.0008,148,104.05,33.1,4.5,146.3
19.505,-99.16666,31299901,52.62969,62.65439,4.761734,4.761734,0.3759263,3.445992,4,30.5,1.9024,163,65.36,23,2.5,120.9
19.483333,-99.19166,33000101,0.2248714,0.8994858,0.04497429,0.01124357,1.915905,0.02499821,4,36.6,2.9356,247,239.21,35.3,3.1,131
19.464444,-99.15611,30799901,8.164629,9.719796,0.7387045,0.7387045,0.05831878,0.5345888,3,41,3.9032,145,323,27,14.3,211.2
19.484299,-99.18233,30801001,,,,,,75.97943,4,29.3,0.6888,110,7.57,20.3,0.4,70
19.484299,-99.18233,31399901,0.1960416,1.416935,0.0306679,0.0306679,0.03503516,31.27048,4,37.3,1.7056,122,60.33,26.4,3.1,130.7
19.484299,-99.18233,30900199,0.1736801,1.255312,0.02716976,0.02716976,0.03103887,0.04814894,4,29.5,2.0992,178,86.33,24.9,2.9,126.4
19.484299,-99.18233,32099901,,,,,,8.586739,4,24,1.7056,113,49.54,21.7,2.7,121
19.484299,-99.18233,31299901,1.714446,2.041007,0.1551165,0.1551165,0.01224604,2.349947,4,30.5,1.9024,163,65.36,23,2.5,120.9
19.5,-99.16111,30101401,0.01587328,0.06349312,0.003174656,0.000793664,0.1352403,43.99323,4,27.9,2.6896,127,81.25,14.3,4,138.9
19.484299,-99.18233,30899901,,,,,,12.38871,3,36.2,2.0008,148,104.05,33.1,4.5,146.3
19.484299,-99.18233,30999901,0.01587328,0.06349312,0.003174656,0.000793664,0.1352403,92.28349,4,33.8,1.7056,156,81.31,35.6,3.3,132.5
19.485,-99.16055,30201901,0.3174656,1.269862,2.27517,0.7898604,13.49229,0.0159791,3,34.9,1.804,112,86.1,33.7,4.7,147.6
19.5,-99.17222,30203001,0.3571488,3.928637,2.369212,1.543127,42.61499,0.1146448,3,58.4,3.2964,205,392.46,46,10.2,195.2
19.493055,-99.16888,30203001,0.2063526,0.8254105,1.706378,0.4860625,1.758124,0.02293953,3,58.4,3.2964,205,392.46,46,10.2,195.2
19.490277,-99.18055,30299901,0.1603201,1.158749,0.02507978,0.02507978,0.02865127,0.04444518,3,49.1,1.8532,157,97.23,36,3.9,144.4
19.483888,-99.15277,30203001,1.11113,4.444518,0.2222259,0.05555648,9.466824,0.1235206,3,58.4,3.2964,205,392.46,46,10.2,195.2
19.484299,-99.18233,30299901,2.631319,3.188581,1.539891,0.6100216,0.02038824,0.1742549,3,49.1,1.8532,157,97.23,36,3.9,144.4
19.484299,-99.18233,30201801,0.501331,2.005324,0.1002662,0.02506655,4.27134,0.0557313,3,44.4,1.9024,170,133.88,47.1,4.9,152.6
19.484299,-99.18233,30204001,4.12794,4.914215,0.3734803,0.3734803,0.02948529,0.2702818,3,74.2,2.0008,122,155.93,49.6,8,186.3
19.4875,-99.16777,30201901,7.200119,8.57157,0.6514394,0.6514394,0.05142942,0.4714364,3,34.9,1.804,112,86.1,33.7,4.7,147.6
19.484299,-99.18233,30203201,14.63841,17.42668,14.50143,5.089286,0.1045601,1.506316,5,40.2,1.2136,316,28.34,24.5,0.2,62
19.484299,-99.18233,30203201,5.760947,6.858271,1.367517,0.7630252,0.04114962,0.3772049,5,40.2,1.2136,316,28.34,24.5,0.2,62
19.484299,-99.18233,30203201,4.580759,5.453284,1.018516,0.58704,0.03271971,0.2999306,5,40.2,1.2136,316,28.34,24.5,0.2,62
19.484299,-99.18233,30201801,0.3333389,1.333355,0.06666777,0.01666694,2.840047,0.03705617,3,44.4,1.9024,170,133.88,47.1,4.9,152.6
19.484299,-99.18233,30203201,2.811261,3.346739,0.2543522,0.2543522,0.02008044,757.5986,5,40.2,1.2136,316,28.34,24.5,0.2,62
19.483333,-99.16666,30101401,0.2357744,0.9430977,0.04715488,0.01178872,2.008798,4.701476,4,27.9,2.6896,127,81.25,14.3,4,138.9
19.484299,-99.18233,30299901,0.3650854,1.460342,0.07301708,0.01825427,3.110528,0.04058533,4,39.3,1.8532,314,66.35,24.6,0.5,76.3
19.484444,-99.18388,30299901,0.396832,1.587328,0.396832,0.110546,3.381008,0.04411449,4,39.3,1.8532,314,66.35,24.6,0.5,76.3
19.500277,-99.16638,30203001,0.001511136,0.001798972,1.98416,0.5670004,1.08E-05,9.89E-05,3,58.4,3.2964,205,392.46,46,10.2,195.2
19.484299,-99.18233,30203001,0.3095289,1.238116,2.27517,0.7863651,13.15498,0.01557962,3,58.4,3.2964,205,392.46,46,10.2,195.2
19.484299,-99.18233,30700801,73.20791,87.15228,6.623573,6.623573,0.5229136,89.89181,3,82,4.92,404,513.21,27,17.8,239
19.479722,-99.19722,30299901,1.866698,2.222259,0.1688917,0.1688917,0.01333355,0.1222242,4,39.3,1.8532,314,66.35,24.6,0.5,76.3
19.484299,-99.18233,33000101,1.111537,5.937614,0.928608,0.6012056,15.20737,0.7412,4,36.6,2.9356,247,239.21,35.3,3.1,131
19.476111,-99.19055,30299901,5.706761,6.793763,0.516326,0.516326,0.04076258,0.373657,4,39.3,1.8532,314,66.35,24.6,0.5,76.3
19.5,-99.16666,30501001,19.6107,23.34608,71.21989,63.58088,0.1400765,1.284034,3,71.9,3.9524,119,506.05,41.2,26.4,265.7
19.483055,-99.16277,30700801,0.1923841,1.390499,0.03009574,0.03009574,0.03438152,0.05333422,3,47.4,2.8864,136,209.04,31.9,9.8,189.8
19.484299,-99.18233,30701201,,,,,,4.228906,4,48.4,2.5912,99.6,61.92,11.7,3.6,140.2
19.484299,-99.18233,30799901,,,,,,10.02006,3,41,3.9032,145,323,27,14.3,211.2
19.486666,-99.18111,30799901,,,,,,53.40237,3,41,3.9032,145,323,27,14.3,211.2
19.484299,-99.18233,30799901,0.00793664,0.03174656,0.001587328,0.000396832,0.06762017,2.277286,3,41,3.9032,145,323,27,14.3,211.2
19.484299,-99.18233,36000101,0.003206402,0.02317499,0.000501596,0.000501596,0.000573025,7.40753,3,39.9,2.0008,170,154.69,49.2,5.7,158.1
19.475833,-99.18055,36000101,,,,,,2.380992,3,39.9,2.0008,170,154.69,49.2,5.7,158.1
19.484299,-99.18233,36000101,,,,,,2.777824,3,39.9,2.0008,170,154.69,49.2,5.7,158.1
19.484299,-99.18233,30701201,,,,,,8.26138,4,48.4,2.5912,99.6,61.92,11.7,3.6,140.2
19.484299,-99.18233,36000101,0.589978,4.264198,15.51953,12.43408,0.1054367,10.19251,3,39.9,2.0008,170,154.69,49.2,5.7,158.1
19.493888,-99.16027,36000101,,,,,,13.22773,3,39.9,2.0008,170,154.69,49.2,5.7,158.1
19.484299,-99.18233,36000101,,,,,,1.851882,3,39.9,2.0008,170,154.69,49.2,5.7,158.1
19.499166,-99.1625,30300501,15.38685,19.78597,1.408185,1.408185,0.1516329,35.28517,2,245,6.4944,172,1072.95,32.4,38.6,351.5
19.476388,-99.19777,36000101,,,,,,1.587328,3,39.9,2.0008,170,154.69,49.2,5.7,158.1
19.469444,-99.15555,36000101,,,,,,2.910101,3,39.9,2.0008,170,154.69,49.2,5.7,158.1
19.484299,-99.18233,30900199,0.04969924,0.3592123,0.007774732,0.007774732,0.008881893,7.788033,4,29.5,2.0992,178,86.33,24.9,2.9,126.4
19.484299,-99.18233,30899901,,,,,,2.740345,3,36.2,2.0008,148,104.05,33.1,4.5,146.3
19.5,-99.16666,30801001,4.355628,5.185271,0.3940806,0.3940806,0.03111163,237.2896,4,29.3,0.6888,110,7.57,20.3,0.4,70
19.476111,-99.19888,31399901,,,0.396832,0.3924227,,23.95435,4,37.3,1.7056,122,60.33,26.4,3.1,130.7
19.490555,-99.16472,30400101,0.02939202,0.2124374,5.405922,5.345907,0.005252732,0.008148283,4,46.2,2.8372,335,192.85,30.5,2.6,127.4
19.476666,-99.19444,30899901,,,,,,2.824876,3,36.2,2.0008,148,104.05,33.1,4.5,146.3
19.461111,-99.17722,30801001,,,,,,1.468935,4,29.3,0.6888,110,7.57,20.3,0.4,70
19.477777,-99.19666,30900199,0.009619207,0.06952496,0.001504787,0.001504787,0.001719076,2.465889,4,29.5,2.0992,178,86.33,24.9,2.9,126.4
19.469444,-99.16333,30801001,0.02244482,0.1622249,0.003511169,0.003511169,0.004011177,3.841831,4,29.3,0.6888,110,7.57,20.3,0.4,70
19.480277,-99.17972,31301001,0.01603201,0.1158749,0.002507978,0.002507978,0.002865127,6.340857,3,29.9,2.0008,109,200.27,63.7,11.1,191.5
19.484299,-99.18233,30799901,,,,,,7.275253,3,41,3.9032,145,323,27,14.3,211.2
19.484299,-99.18233,30701201,0.2182576,0.8730303,0.04365152,0.01091288,1.859555,1.294403,4,48.4,2.5912,99.6,61.92,11.7,3.6,140.2
19.484299,-99.18233,30701201,0.1544973,1.116664,0.02416888,0.02416888,0.02761065,0.6915946,4,48.4,2.5912,99.6,61.92,11.7,3.6,140.2
19.484444,-99.16055,30101801,0.07473668,66.81658,2.279689,2.279689,1.484813,4.585063,4,53.7,1.7056,191,68.95,30.2,2.1,120.9
19.484299,-99.18233,30701201,,,,,,24.66289,4,48.4,2.5912,99.6,61.92,11.7,3.6,140.2
19.484299,-99.18233,30299901,0.7849273,5.673237,0.1227906,0.1227906,0.1402766,0.2176036,4,39.3,1.8532,314,66.35,24.6,0.5,76.3
19.493055,-99.15777,30900199,3.111163,3.703765,7.306787,4.965021,0.02222259,11.94808,4,29.5,2.0992,178,86.33,24.9,2.9,126.4
19.484299,-99.18233,30900199,0.09178226,0.1092646,0.008304109,0.008304109,0.000655588,10.50607,4,29.5,2.0992,178,86.33,24.9,2.9,126.4
19.484299,-99.18233,30501101,0.00016032,0.001158749,1.499558,1.332936,2.87E-05,4.44E-05,3,32.8,1.968,80.6,89.8,29.5,5.7,156.6
19.484299,-99.18233,30501101,0.00014696,0.001062187,2.343385,2.083005,2.63E-05,4.07E-05,3,32.8,1.968,80.6,89.8,29.5,5.7,156.6
19.484299,-99.18233,30199901,,,,,,20.68889,4,46.1,2.0992,202,85.48,24.7,2.3,122.1
19.484299,-99.18233,30199901,3.160888,3.844804,0.2878177,0.2856558,0.1252983,0.2092043,4,46.1,2.0992,202,85.48,24.7,2.3,122.1
19.484299,-99.18233,31499901,6.862336,8.169448,0.620878,0.620878,0.04901668,0.4493196,4,29.8,1.804,141,37.06,14.5,1.7,106.5
19.501388,-99.16694,30799901,0.03206402,0.2317499,0.005015956,0.005015956,0.005730254,6.039588,3,41,3.9032,145,323,27,14.3,211.2
19.484299,-99.18233,30999901,0.04985635,0.3603479,0.8911869,0.8813714,0.008909971,3.707966,4,33.8,1.7056,156,81.31,35.6,3.3,132.5
19.484299,-99.18233,30899901,,,,,,1.427469,3,36.2,2.0008,148,104.05,33.1,4.5,146.3
19.484299,-99.18233,30199901,,,0.4833634,0.4301934,,5.515413,4,46.1,2.0992,202,85.48,24.7,2.3,122.1
19.484299,-99.18233,30300501,4.027835,5.30125,7.887917,5.978593,0.04315594,0.2814821,2,245,6.4944,172,1072.95,32.4,38.6,351.5
19.484299,-99.18233,39990001,,,,,,6.613132,3,57.8,3.0832,368,226.28,30.3,5.4,161.1
19.484299,-99.18233,31399901,,,2.547984,2.267706,,2.378135,4,37.3,1.7056,122,60.33,26.4,3.1,130.7
19.484299,-99.18233,36000101,,,,,,2.193191,3,39.9,2.0008,170,154.69,49.2,5.7,158.1
19.484299,-99.18233,30800101,1.30313,5.21252,0.260626,0.0651565,11.10267,0.1448646,3,35.3,2.0992,113,121.13,35,6.5,163.9
19.484299,-99.18233,30900199,0.03555896,0.2570103,0.005562689,0.005562689,0.006354844,1.829725,4,29.5,2.0992,178,86.33,24.9,2.9,126.4
19.475555,-99.19722,30800101,0.1927899,6.936967,1.257908,0.5786845,14.77574,99.8858,3,35.3,2.0992,113,121.13,35,6.5,163.9
19.484299,-99.18233,30203001,0.6062329,2.424932,0.1212466,0.03031164,5.165104,0.06739289,3,58.4,3.2964,205,392.46,46,10.2,195.2
19.484299,-99.18233,36000101,,,,,,11.17003,3,39.9,2.0008,170,154.69,49.2,5.7,158.1
19.484299,-99.18233,36000101,0.09619207,0.6952496,0.01504787,0.01504787,0.01719076,221.7986,3,39.9,2.0008,80.6,123.75,39.4,7.9,175.3
19.466388,-99.15805,30101401,0.00793664,0.03174656,2.590431,2.560476,0.06762017,1.654349,4,27.9,2.6896,127,81.25,14.3,4,138.9
19.484299,-99.18233,30801001,,,,,,1.467176,4,29.3,0.6888,110,7.57,20.3,0.4,70
19.484299,-99.18233,30203301,3.241979,3.859499,2.815533,1.013954,0.02315699,0.2122724,3,47.2,3.2144,162,322.87,39.8,12.6,205
19.484299,-99.18233,30899901,,,,,,67.11752,3,36.2,2.0008,148,104.05,33.1,4.5,146.3
19.484299,-99.18233,36000101,,,,,,1.326962,3,39.9,2.0008,170,154.69,49.2,5.7,158.1
19.484299,-99.18233,30701201,2.238929,2.665392,0.2025698,0.2025698,0.01599235,0.1465965,4,48.4,2.5912,99.6,61.92,11.7,3.6,140.2
19.484299,-99.18233,30701201,1.688917,2.010615,0.1528068,0.1528068,0.01206369,0.1105838,4,48.4,2.5912,99.6,61.92,11.7,3.6,140.2
19.484299,-99.18233,30501001,1.152122,4.608489,1.3878,0.903909,48.96519,0.05799015,3,71.9,3.9524,119,506.05,41.2,26.4,265.7
19.484299,-99.18233,30899901,0.00016032,0.001158749,1.904068,1.694616,2.87E-05,1.550979,3,36.2,2.0008,148,104.05,33.1,4.5,146.3
19.484299,-99.18233,31499901,2.098347,2.498033,0.1898505,0.1898505,0.0149882,0.1373918,4,29.8,1.804,141,37.06,14.5,1.7,106.5
19.466111,-99.15833,30107001,0.3174656,1.269862,1.023826,0.883364,13.49229,0.0159791,4,43.2,1.6564,158,34.81,16.2,1.4,104.8
19.505,-99.16666,31299901,2.451087,2.91796,0.221765,0.221765,0.01750776,21.80989,4,30.5,1.9024,163,65.36,23,2.5,120.9
19.484299,-99.18233,30105001,0.03691199,0.1476479,0.007382398,0.001845599,0.3144901,4.892145,7,36.2,0.1968,103,,2.2,0,23.8
19.473611,-99.19083,30500801,,,23.28081,20.69405,,0.3142909,3,32.2,1.8532,141,117.31,43.5,5.3,152.9
19.474166,-99.19166,30103501,0.4523884,4.976273,3.001002,1.954628,53.97899,0.1452167,3,82.3,2.296,185,166.36,40.2,5.3,168.1
19.483333,-99.16111,30500101,3.200053,3.809587,0.2895286,0.2895286,0.02285752,0.2095273,4,36.1,2.7388,266,259.42,44,1.9,112.4
19.492777,-99.17666,30701201,9.546824,11.36527,0.8637604,0.8637604,0.0681916,0.6250897,4,48.4,2.5912,99.6,61.92,11.7,3.6,140.2
19.502777,-99.18638,31499901,0.01937128,0.02306105,1.908312,0.8188495,0.000138366,43.21004,4,29.8,1.804,141,37.06,14.5,1.7,106.5
19.491666,-99.18888,30400101,4.603559,5.480428,0.4165125,0.4165125,0.03288257,9.538849,4,46.2,2.8372,335,192.85,30.5,2.6,127.4
19.484299,-99.18233,30106001,3.001531,3.573251,0.2715671,0.2715671,0.02143951,0.1965288,4,47.2,1.5088,139,29.85,16.7,1.4,105.4
19.477222,-99.19555,30899901,0.1818813,0.7275253,0.03637626,0.009094066,1.549629,0.02021914,3,36.2,2.0008,148,104.05,33.1,4.5,146.3
19.484299,-99.18233,30105001,0.07062286,0.2824914,0.01412457,0.003531143,0.6017068,3.057052,7,36.2,0.1968,103,,2.2,0,23.8
19.484166,-99.16111,30101401,1.244465,1.481506,0.1125945,0.1125945,0.008889036,0.08148283,4,27.9,2.6896,127,81.25,14.3,4,138.9
19.505555,-99.19861,30801001,1.777807,2.116437,1.058219,1.048248,0.01269862,9.381329,4,29.3,0.6888,110,7.57,20.3,0.4,70
19.484299,-99.18233,30101401,,,0.2204622,0.2180126,,2.372896,4,27.9,2.6896,127,81.25,14.3,4,138.9
19.496111,-99.16305,30501001,0.9523968,3.809587,6.711751,6.249917,40.47686,0.0479373,3,71.9,3.9524,119,506.05,41.2,26.4,265.7
19.484299,-99.18233,30499901,3.215505,3.827982,0.2909267,0.2909267,0.02296789,0.210539,4,41.3,2.0992,242,124.87,36.1,1.8,112.7
19.485555,-99.21388,30900199,,,,,,1.239895,4,29.5,2.0992,178,86.33,24.9,2.9,126.4
19.501388,-99.16527,30199901,0.04809603,0.3476248,34.52438,34.14086,0.00859538,4.417066,4,46.1,2.0992,202,85.48,24.7,2.3,122.1
