LATC,LONC,SCC,ANNCO,ANNNOX,ANNPM10,ANNPM25,ANNSO2,ANNVOC,Capa,STKHGT,STKDIAM,STKTEMP,STKFLOW,STKVEL,F,H efectiva
32.572222,-116.6402,39990001,1.61,6.44,,,0.07,18.79,3,57.9,3.0839,368,226.45,30.3,5.4,161.2
32.534722,-117.0436,10102101,0.25,67.63,0.89,0.88,38.8,0.03,3,49.2,10.301,267,2051,24.6,14.4,214.2
32.534722,-117.0436,10100404,2.73,728.42,9.63,9.47,417.89,0.34,3,52.4,10.301,269,2078.35,24.9,13.3,210
32.534722,-117.0436,30203001,1.05,11.22,5.71,4.99,117.86,0.32,3,58.4,3.2808,204,388.86,46,10.2,195.4
32.534722,-117.0436,30299999,0.27,2.73,1.38,1.2,28.45,0.08,3,49.1,1.8372,157,95.59,36.1,3.9,143.6
32.534722,-117.0436,30203201,48.91,288.04,8.74,8.74,0.16,12.79,5,40.2,1.2139,316,28.36,24.5,0.2,62.1
32.534722,-117.0436,30299999,0.21,1.26,0.04,0.04,,13.09,3,49.1,1.8372,157,95.59,36.1,3.9,143.6
32.534722,-117.0436,30799901,0.15,0.88,0.03,0.02,,33.23,3,41,3.9042,145,323.25,27,14.3,211.2
32.534722,-117.0436,30799901,,,,,,150.42,3,41,3.9042,145,323.25,27,14.3,211.2
32.534722,-117.0436,30799901,,,,,,58.29,3,41,3.9042,145,323.25,27,14.3,211.2
32.534722,-117.0436,30799901,,,,,,34.2,3,41,3.9042,145,323.25,27,14.3,211.2
32.534722,-117.0436,30799901,,,,,,31.61,3,41,3.9042,145,323.25,27,14.3,211.2
32.534722,-117.0436,30799901,,,,,,15.52,3,41,3.9042,145,323.25,27,14.3,211.2
32.534722,-117.0436,30799901,,,,,,17.26,3,41,3.9042,145,323.25,27,14.3,211.2
32.534722,-117.0436,30799901,,,,,,16.81,3,41,3.9042,145,323.25,27,14.3,211.2
32.534722,-117.0436,30799901,,,,,,14.53,3,41,3.9042,145,323.25,27,14.3,211.2
32.534722,-117.0436,30799901,,,,,,102.97,3,41,3.9042,145,323.25,27,14.3,211.2
32.534722,-117.0436,30799901,,,,,,72,3,41,3.9042,145,323.25,27,14.3,211.2
32.534722,-117.0436,30701201,0.1,1.12,0.59,0.51,12.14,1.45,4,48.4,2.5918,99.4,61.97,11.7,3.6,140.3
32.534722,-117.0436,30701201,0.37,3.96,2.06,1.8,42.67,0.11,3,68.2,4.3963,260,368.54,24.3,3.4,143.6
32.534722,-117.0436,30701201,,,,,,70.96,4,48.4,2.5918,99.4,61.97,11.7,3.6,140.3
32.45,-116.9666,30701201,0.13,0.79,0.02,0.02,,238.63,4,48.4,2.5918,99.4,61.97,11.7,3.6,140.3
32.534722,-117.0436,30101801,,,,,,95.01,4,53.8,1.706,190,69,30.2,2.1,121.3
32.534722,-117.0436,30101801,,,,,,21.16,4,53.8,1.706,190,69,30.2,2.1,121.3
32.534722,-117.0436,30101801,,,,,,15.62,4,53.8,1.706,190,69,30.2,2.1,121.3
32.534722,-117.0436,30101801,,,,,,93.58,4,53.8,1.706,190,69,30.2,2.1,121.3
32.534722,-117.0436,30101801,,,,,,11.43,4,53.8,1.706,190,69,30.2,2.1,121.3
32.534722,-117.0436,30101401,3.67,0.87,0.03,0.03,0.14,34.28,4,27.9,2.6902,126,81.31,14.3,4.1,139.2
32.534722,-117.0436,31600301,0.03,0.19,0.01,0.01,,100.13,4,36.6,2.9199,247,236.61,35.3,3.1,130.6
32.534722,-117.0436,30800801,0.72,7.91,4.14,3.62,85.64,0.22,4,25.5,1.706,128,81.15,35.5,4,137.9
32.534722,-117.0436,30800801,0.63,6.96,3.65,3.19,75.53,0.16,4,25.5,1.706,128,81.15,35.5,4,137.9
32.534722,-117.0436,30500801,1.52,0.91,,,,94.5,3,32.3,1.8372,140,115.34,43.5,5.3,152.4
32.534722,-117.0436,30501401,,,,,,355.18,3,78.3,3.412,331,405.89,44.4,5.1,164.6
32.534722,-117.0436,30501101,,,15.09,10.17,,,3,31.4,2.8871,112,170.11,26,9.2,181.4
32.534722,-117.0436,30400701,,,,,,19.84,3,39.4,2.6902,157,190.97,33.6,7.7,174
32.534722,-117.0436,30499999,0.16,0.94,0.03,0.03,,32.02,4,41.4,2.0997,242,124.97,36.1,1.8,112.8
