GRIDCODE,CVEID,Fb,,USs4ginCELL (m2),USs4ginMUNICIPIO (m2)
19981,15099,0.32988,,3547872.359,10754888.58
19981,15099,0.04621,,496941.2997,10754888.58
19981,15099,0.07836,,842803.7945,10754888.58
19981,15099,0.07224,,776898.9246,10754888.58
19982,15039,0.20721,,3358516.589,16208654.43
19982,15099,0.03194,,343523.6603,10754888.58
19982,15099,0.04082,,439010.5542,10754888.58
20302,16066,0.15903,,1399289.092,8798723.533
20302,16066,0.62629,,5510550.642,8798723.533
20303,16066,0.16223,,1427457.96,8798723.533
20303,16066,0.02893,,254589.5306,8798723.533
20303,16066,0.02351,,206836.3076,8798723.533
20330,09002,1.00000,,318707.7681,318707.7681
20330,09016,0.04026,,275473.7237,6841579.367
20331,09005,0.54226,,2854000.916,5263168.693
20331,09005,0.18784,,988633.0134,5263168.693
20331,15104,1.00000,,397032.4482,397032.4482
20332,09005,0.12278,,646193.1757,5263168.693
20332,15058,0.93415,,8065.352367,8633.859479
20334,15099,0.27860,,2996283.054,10754888.58
20334,15099,0.05688,,611761.1152,10754888.58
20335,15099,0.06507,,699793.821,10754888.58
20655,16100,0.99959,,2845223.774,2846377.925
20656,16100,0.00041,,1154.151313,2846377.925
20659,16053,0.43553,,13064198.02,29996176.54
20660,16053,0.09709,,2912213.324,29996176.54
20682,15013,0.99360,,80772.48287,81292.76848
20682,15060,1.00000,,13.10951391,13.10951391
20682,15121,0.57685,,5253693.969,9107573.246
20683,15013,0.00640,,520.2851024,81292.76848
20683,15121,0.10411,,948185.7911,9107573.246
20687,15065,0.06445,,3283.520895,50946.13427
20687,15093,0.48559,,2672716.72,5504021.53
20687,15093,0.16302,,897247.3703,5504021.53
20688,15093,0.17918,,986209.4921,5504021.53
20688,15093,0.14463,,796020.9312,5504021.53
20706,30128,0.40599,,1482269.462,3650959.53
21013,16053,0.02969,,890629.5163,29996176.54
21013,16053,0.02301,,690316.2763,29996176.54
21013,16053,0.03093,,927643.9786,29996176.54
21013,16053,0.01802,,540462.0444,29996176.54
21013,16053,0.20327,,6097423.456,29996176.54
21014,16022,0.01661,,30936.47656,1862339.062
21014,16022,0.05129,,95527.50264,1862339.062
21014,16022,0.41363,,770320.3821,1862339.062
21014,16053,0.00784,,235104.5501,29996176.54
21014,16053,0.01509,,452674.4131,29996176.54
21014,16053,0.03025,,907378.6123,29996176.54
21014,16053,0.09407,,2821641.231,29996176.54
21014,16053,0.01522,,456491.1198,29996176.54
21021,16041,1.00000,,1136624.736,1136624.736
21035,15121,0.28903,,2632317.379,9107573.246
21036,15121,0.03002,,273376.1067,9107573.246
21040,15065,0.93555,,47662.61404,50946.13427
21040,15075,1.00000,,201372.384,201372.384
21040,15093,0.02758,,151827.0162,5504021.53
21059,30128,0.59401,,2168690.068,3650959.53
21367,16022,0.51846,,965554.7003,1862339.062
21394,15016,0.12432,,89391.29245,719043.6937
21395,15016,0.55028,,395672.0345,719043.6937
21395,15016,0.32540,,233980.3668,719043.6937
21708,16025,1.00000,,6597781.707,6597781.707
22549,04002,0.31342,,2707313.188,8638099.333
22549,04004,0.82113,,373130.1177,454409.8981
22554,04002,0.33826,,2921928.454,8638099.333
22554,04002,0.10818,,934508.8271,8638099.333
22555,04002,0.10393,,897762.1501,8638099.333
22555,04002,0.13621,,1176586.714,8638099.333
22555,04006,1.00000,,552613.7913,552613.7913
22902,04004,0.17887,,81279.78037,454409.8981
23114,16011,0.40812,,970923.4081,2379013.957
23114,16103,1.00000,,96832.09159,96832.09159
23162,13001,1.00000,,831610.0549,831610.0549
23164,13077,1.00000,,512632.2575,512632.2575
23168,21183,0.56728,,2900540.609,5113053.055
23467,16011,0.25048,,595906.3178,2379013.957
23468,14018,1.00000,,21397.58483,21397.58483
23468,16011,0.34140,,812184.2316,2379013.957
23521,21183,0.43272,,2212512.446,5113053.055
23965,04008,0.85839,,251259.8552,292709.6326
24222,30072,1.00000,,2606743.291,2606743.291
24222,30198,1.00000,,351577.3414,351577.3414
24318,04008,0.14161,,41449.77737,292709.6326
25394,23006,1.00000,,4425311.615,4425311.615
26319,22005,1.00000,,6552057.518,6552057.518
26660,11015,1.00000,,409884.1909,409884.1909
31605,24028,0.57460,,774770.2369,1348370.802
31605,24028,0.42540,,573600.5647,1348370.802
31931,14025,1.00000,,2056473.028,2056473.028
39682,10005,1.00000,,930584.7561,930584.7561
