GRIDCODE,CVIDE,Fa,USs4ginCELL (m2),USs4ginMUNICIPIO (m2)
294,07087,0.142988206,20552493.12,143735583.1
294,07087,0.000297899,42818.71524,143735583.1
294,07087,0.077033551,11072462.42,143735583.1
295,07087,0.031848636,4577782.24,143735583.1
645,07089,0.003975118,2645193.774,665437753.6
645,07089,0.002908182,1935214.056,665437753.6
645,07089,0.00114157,759643.947,665437753.6
646,07087,0.01951506,2805008.505,143735583.1
646,07087,0.005845126,840152.5911,143735583.1
646,07087,0.021966821,3157413.876,143735583.1
646,07087,0.009317832,1339303.987,143735583.1
646,07087,0.005429915,780471.93,143735583.1
646,07089,0.015719804,10460550.98,665437753.6
646,07089,0.001586928,1056001.642,665437753.6
646,07089,0.001594672,1061154.962,665437753.6
646,07089,0.015921967,10595078.03,665437753.6
646,07089,0.000761152,506499.0943,665437753.6
646,07089,1.33967E-07,89.14677944,665437753.6
647,07087,0.021198511,3046980.293,143735583.1
647,07087,0.085819905,12335374.07,143735583.1
647,07087,0.001406868,202216.9485,143735583.1
647,07087,0.050824935,7305351.7,143735583.1
647,07087,0.009331903,1341326.513,143735583.1
647,07087,0.003877789,557376.3206,143735583.1
647,07087,0.089119423,12809632.22,143735583.1
647,07087,0.041921657,6025633.871,143735583.1
647,07087,0.049507094,7115931.031,143735583.1
647,07087,0.030500643,4384027.746,143735583.1
647,07087,0.005466548,785737.5183,143735583.1
647,07087,0.016525777,2375342.144,143735583.1
647,07087,0.012578976,1808046.436,143735583.1
648,07087,0.00029474,42364.56947,143735583.1
648,07087,0.034802679,5002383.346,143735583.1
648,07087,0.001041179,149654.5184,143735583.1
648,07087,0.020265527,2912877.303,143735583.1
648,07087,0.085466396,12284562.29,143735583.1
997,07054,0.00079582,180468.7659,226770740
997,07054,0.00786947,1784565.625,226770740
997,07054,0.002015702,457102.2667,226770740
997,07054,0.002553225,578996.6796,226770740
997,07054,5.19906E-06,1178.995613,226770740
997,07089,0.002266519,1508227.289,665437753.6
997,07089,0.000475084,316138.6238,665437753.6
997,07089,0.001502866,1000063.608,665437753.6
998,07054,0.002243289,508712.3986,226770740
998,07089,0.039852558,26519396.36,665437753.6
998,07089,0.005896225,3923570.888,665437753.6
998,07089,0.009499065,6321036.47,665437753.6
998,07089,0.005602354,3728018.091,665437753.6
998,07089,0.007524387,5007011.054,665437753.6
998,07089,0.00513409,3416417.562,665437753.6
998,07089,0.015087394,10039721.55,665437753.6
998,07089,0.000268108,178409.3461,665437753.6
998,07089,6.88959E-05,45845.94669,665437753.6
999,07035,0.001716546,114812.8638,66885973.14
999,07035,3.17407E-05,2123.008661,66885973.14
999,07035,3.08297E-05,2062.073317,66885973.14
999,07087,0.00804518,1156378.641,143735583.1
999,07087,0.000581473,83578.33709,143735583.1
999,07089,0.043082039,28668415.02,665437753.6
999,07089,0.009051828,6023428.203,665437753.6
999,07089,0.000972132,646893.1425,665437753.6
999,07089,0.00321048,2136374.575,665437753.6
999,07089,0.000520665,346470.2682,665437753.6
999,07089,0.007685737,5114379.682,665437753.6
999,07089,0.001252153,833230.0905,665437753.6
999,07089,0.001355171,901781.9906,665437753.6
999,07089,0.007813726,5199548.011,665437753.6
999,07089,0.010097222,6719072.83,665437753.6
999,07089,0.001833335,1219970.167,665437753.6
999,07089,0.001339364,891263.1371,665437753.6
999,07089,0.001082499,720336.0092,665437753.6
999,07089,0.003503429,2331314.232,665437753.6
999,07089,0.003847785,2560461.154,665437753.6
999,07089,0.002993531,1992008.604,665437753.6
999,07089,0.000985764,655964.7319,665437753.6
1000,07035,0.545450453,36482984.37,66885973.14
1000,07035,0.004933494,329981.5211,66885973.14
1000,07035,0.031077586,2078654.564,66885973.14
1000,07035,0.0858499,5742154.1,66885973.14
1000,07035,0.005856186,391696.7252,66885973.14
1000,07035,3.59428E-05,2404.067815,66885973.14
1000,07035,0.013521103,904372.1077,66885973.14
1000,07035,0.008368975,559767.0212,66885973.14
1000,07087,0.027884183,4007949.307,143735583.1
1000,07087,0.006218844,893869.1067,143735583.1
1000,07087,0.04489735,6453346.798,143735583.1
1000,07087,0.00028121,40419.86667,143735583.1
1000,07089,0.000204765,136258.6863,665437753.6
1000,07089,1.05408E-06,701.4218896,665437753.6
1000,07089,0.000155076,103193.4099,665437753.6
1000,07089,0.000174583,116174.3492,665437753.6
1000,07102,0.018088227,1878067.371,103828160.3
1000,07102,0.000763291,79251.06441,103828160.3
1001,07035,0.017824541,1192211.741,66885973.14
1001,07035,0.047903998,3204105.526,66885973.14
1001,07035,0.000153888,10292.95421,66885973.14
1001,07035,0.007477728,500155.0851,66885973.14
1001,07035,0.000375802,25135.88909,66885973.14
1001,07087,0.002852945,410069.6551,143735583.1
1001,07087,0.012112781,1741037.704,143735583.1
1001,07087,1.34946E-06,193.9647109,143735583.1
1001,07087,0.011486411,1651006.041,143735583.1
1001,07087,0.011444678,1645007.4,143735583.1
1349,07054,0.001476081,334731.9441,226770740
1349,07054,0.030259173,6861895.001,226770740
1349,07054,0.000461975,104762.4932,226770740
1349,07054,0.000490026,111123.4723,226770740
1349,07054,4.91718E-05,11150.73675,226770740
1349,07054,0.001806308,409617.8972,226770740
1349,07054,0.000165755,37588.2877,226770740
1349,07054,0.007110893,1612542.454,226770740
1349,07054,0.003537758,802259.9713,226770740
1350,07054,0.00820476,1860599.582,226770740
1350,07054,0.129197387,29298187,226770740
1350,07054,0.015818977,3587281.232,226770740
1350,07054,0.002506647,568434.2286,226770740
1350,07054,0.010896053,2470906.003,226770740
1350,07054,0.003689222,836607.5057,226770740
1350,07054,0.001446131,327940.1036,226770740
1350,07054,0.022156741,5024500.558,226770740
1350,07054,0.01035814,2348922.961,226770740
1350,07054,0.020482075,4644735.377,226770740
1350,07054,0.057008223,12927796.9,226770740
1350,07054,8.71399E-05,19760.78031,226770740
1350,07054,0.002217973,502971.4817,226770740
1350,07054,0.000753519,170876.1372,226770740
1350,07054,0.01969712,4466730.541,226770740
1350,07054,0.00925634,2099066.988,226770740
1350,07054,0.005288996,1199389.456,226770740
1350,07054,0.001384014,313853.9668,226770740
1351,07054,0.011576989,2625322.381,226770740
1351,07054,0.050534606,11459769.89,226770740
1351,07054,0.032956849,7473649.124,226770740
